gene_id	gene_name	log2FadultChange	log2CPM	baseMean	description
LOC101276523	GALNT6	3.57	4.13	35.97	polypeptide N-acetylgalactosaminyltransferase 6
LOC101282707	LOC101282707	1.81	3.35	34.97	histone H2B type 1-N
LOC101277267	GATA6	-2.49	2.62	16.05	GATA binding protein 6
LOC101287775	COL6A1	1.69	11.13	6696.69	collagen type VI alpha 1 chain
LOC101276379	RARRES1	2.08	4.11	53.95	retinoic acid receptor responder 1
LOC101285407	LOC101285407	1.8	5.1	106.87	S100 calcium binding protein A10
LOC101286765	UBE2J1	1.48	4.55	75.67	ubiquitin conjugating enzyme E2 J1
LOC101281241	SEMA4D	2.11	5.98	272.58	semaphorin 4D
LOC101274159	KCTD15	1.43	4.26	62.62	potassium channel tetramerization domain containing 15
LOC101273592	ADCY7	1.25	6.18	215.63	adenylate cyclase 7
LOC101269803	MCAM	-1.99	9.18	1646.24	melanoma cell adhesion molecule
LOC101273456	MANSC4	1.63	3.5	32.76	MANSC domain containing 4
LOC101271537	PDIA5	-1.02	5.05	88.44	protein disulfide isomerase family A member 5
LOC101280074	TRAF5	-2.45	1.99	13.61	TNF receptor associated factor 5
LOC101281509	FOXK2	0.96	5.48	132.49	forkhead box K2
LOC101275533	PLIN2	1.6	5.06	95.88	perilipin 2
LOC101276775	EVPL	4.01	9.26	195.89	envoplakin
LOC101275905	TUBB4B	1.46	6.54	269.29	tubulin beta 4B class IVb
LOC101278782	SH3PXD2A	1.53	9.22	1826.98	SH3 and PX domains 2A
LOC101270457	ESPN	2.53	3.37	28.27	espin
LOC101273678	SLC2A13	-1.14	4.94	90.28	solute carrier family 2 member 13
LOC101279987	LOC101279987	1.93	4.27	55.66	histone H2B type 1-C/E/F/G/I-like
LOC101270829	HES6	-2.09	1.11	6.22	hes family bHLH transcription factor 6
LOC101280608	NFASC	-2.06	4.23	51.83	neurofascin
LOC101282067	LFNG	-1.61	6.36	232.73	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
LOC101287647	CDKN2C	2.17	1.97	11.78	cyclin dependent kinase inhibitor 2C
LOC101286291	SPHK1	-1.52	5.19	105.47	sphingosine kinase 1
LOC101273115	TRPV5	-2.57	2.87	19.23	transient receptor potential cation channel subfamily V member 5
LOC101288613	RFTN2	2.05	3.99	48.09	raftlin family member 2
LOC101269539	RPL35	1.53	7.42	517.51	ribosomal protein L35
LOC101287054	GABBR2	-2.18	3.25	28.2	gamma-aminobutyric acid type B receptor subunit 2
LOC101285705	STARD9	-1.55	7.95	698.96	StAR related lipid transfer domain containing 9
LOC101277223	CMTM3	1.14	4.57	99.08	CKLF like MARVEL transmembrane domain containing 3
LOC101285591	FANCE	-1.09	5.37	120.26	FA complementation group E
LOC101281161	LOC101281161	1.3	7.44	506.09	cyclin-dependent kinase 11B
LOC101289032	PID1	1.64	3.97	50.22	phosphotyrosine interaction domain containing 1
PEDS1	PEDS1	1.32	4.31	59.34	plasmanylethanolamine desaturase 1
LOC101276180	TTLL10	3.89	2.2	10.53	tubulin tyrosine ligase like 10
LOC101284421	GPRC5C	2.94	2.75	20.28	G protein-coupled receptor class C group 5 member C
LOC101287985	LOC101287985	2.46	2.06	12.29	cytochrome P450 2J2
LOC101288671	TROAP	2.83	3.06	24.76	trophinin associated protein
LOC101288218	NUPR1	1.82	3.8	42.95	nuclear protein 1, transcriptional regulator
LOC101282222	EPHX2	-1.54	3.44	28.89	epoxide hydrolase 2
LOC101290326	WNK1	0.94	8.54	1114.28	WNK lysine deficient protein kinase 1
ATP5MC2	ATP5MC2	1.44	6.24	226.32	ATP synthase membrane subunit c locus 2
LOC101273085	ARRDC1	1.28	5.31	118.12	arrestin domain containing 1
C8H11orf91	C8H11orf91	-1.31	5.12	61.56	chromosome 8 C11orf91 homolog
LOC101275932	PLTP	1.67	4.7	78.36	phospholipid transfer protein
LOC101283240	TPM1	-1.53	8.16	821.06	tropomyosin 1
LOC101284108	HINT1	1.47	3.58	44.18	histidine triad nucleotide binding protein 1
LOC101289009	STAP2	3.1	2.85	20.24	signal transducing adaptor family member 2
LOC101273969	SLC22A18	2.75	4.3	62.35	solute carrier family 22 member 18
LOC101283276	WBP11	0.91	5.49	124.66	WW domain binding protein 11
LOC101286758	RCN1	1.32	6.63	304.79	reticulocalbin 1
LOC101282617	UBE2M	1.17	4.41	59.71	ubiquitin conjugating enzyme E2 M
LOC101275539	EIF3G	1.15	7.04	406.81	eukaryotic translation initiation factor 3 subunit G
LOC101281538	TRAK2	1.55	6.26	241.87	trafficking kinesin protein 2
LOC101290460	TOMM20	1.19	5.65	156.5	translocase of outer mitochondrial membrane 20
LOC101280231	MPZL2	5.4	2.58	14.61	myelin protein zero like 2
LOC101287792	CD68	2.25	3.71	39.1	CD68 molecule
LOC101274789	SLC22A23	2.3	4.83	83.28	solute carrier family 22 member 23
LOC101283808	RNF24	1.69	6.97	370.94	ring finger protein 24
LOC101274727	TSNARE1	-1.48	4.51	70.85	t-SNARE domain containing 1
LOC101280430	XPNPEP2	3.11	1.7	10.76	X-prolyl aminopeptidase 2
LOC101280772	CEMIP	2.63	4.75	100.78	cell migration inducing hyaluronidase 1
LOC101275068	RPL10	1.32	7.66	594.47	ribosomal protein L10
PEG10	PEG10	2.38	4.43	95.94	paternally expressed 10
LOC101277017	LRP8	1.49	4.21	54	LDL receptor related protein 8
LOC101275848	RAD23B	1.17	5.42	162.64	RAD23 homolog B, nucleotide excision repair protein
LOC101290181	SEC24D	1.01	6.25	222.65	SEC24 homolog D, COPII coat complex component
LOC101282359	GPAT3	-2.12	5.11	101.8	glycerol-3-phosphate acyltransferase 3
LOC101277408	CACUL1	1.07	5.65	164.04	CDK2 associated cullin domain 1
LOC101289128	DENND3	-1.34	5.56	132.97	DENN domain containing 3
PRXL2C	PRXL2C	1.82	4.54	51.23	peroxiredoxin like 2C
LOC101285313	SYTL4	-1.17	4.34	57.71	synaptotagmin like 4
LOC101273543	DNAH5	-3.91	2.51	19.41	dynein axonemal heavy chain 5
LOC101275337	DNM1	1.55	6.39	241.86	dynamin 1
LOC101278406	AHCY	2.13	5.5	131.03	adenosylhomocysteinase
LOC101285214	ST6GALNAC3	-1.78	2.64	16.31	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3
LOC101290144	PMEL	3.18	4.88	89.62	premelanosome protein
LOC101287897	AKR1B1	2.34	6.93	142.06	aldo-keto reductase family 1 member B
LOC101269742	USP35	-1.5	5.74	152.24	ubiquitin specific peptidase 35
LOC101272487	RHPN1	-2.16	1.82	8.82	rhophilin Rho GTPase binding protein 1
LOC101276828	PLD6	2.12	5.43	173.41	phospholipase D family member 6
LOC101285071	PNPLA1	4.75	2	10.6	patatin like phospholipase domain containing 1
LOC101274637	EIF1	1.13	6.57	327.71	eukaryotic translation initiation factor 1
LOC101272922	SLC1A3	-1.98	3.78	38.9	solute carrier family 1 member 3
LOC101275044	RASA1	-1.11	5.44	128.65	RAS p21 protein activator 1
LOC101289202	FAM185A	-1.99	4.17	78.31	family with sequence similarity 185 member A
LOC101273937	HMG20B	1.47	6.67	293.07	high mobility group 20B
LOC101285433	MCUB	1.56	4.15	52.3	mitochondrial calcium uniporter dominant negative subunit beta
LOC101289262	USHBP1	-1.86	5.38	116.98	USH1 protein network component harmonin binding protein 1
LOC101269667	SIL1	-0.9	5.79	164.07	SIL1 nucleotide exchange factor
LOC101269303	BMP1	1.07	6.51	271.77	bone morphogenetic protein 1
LOC101269502	STOX2	-1.27	5.79	154.5	storkhead box 2
LOC101283189	NAGLU	-1.26	6.39	242.09	N-acetyl-alpha-glucosaminidase
LOC101277805	ITGA1	-1.65	5.81	159.06	integrin subunit alpha 1
LOC101278814	ATP6V0E1	1.69	5.23	96.33	ATPase H+ transporting V0 subunit e1
LOC101283926	METRNL	1.41	5.76	161.08	meteorin like, glial cell differentiation regulator
LOC101289966	DSG1	5.09	5.59	138.3	desmoglein 1
LOC101271614	EMC3	1.18	4.79	85.64	ER membrane protein complex subunit 3
LOC101276796	CLEC1A	-2.03	4.12	46.17	C-type lectin domain family 1 member A
LOC101272142	MAPKAPK2	1.13	5.72	163.15	MAPK activated protein kinase 2
LOC101276711	RPS17	1.55	8.77	1305.05	ribosomal protein S17
LOC101282952	LOC101282952	2.27	8.04	885.65	histone H2A type 2-C
LOC101278278	DDIT4L	1.7	3.87	40.36	DNA damage inducible transcript 4 like
LOC101284691	LOC101284691	5.47	3.06	23.6	L-threonine 3-dehydrogenase, mitochondrial
LOC101286699	FILIP1	-1.36	5.94	176.5	filamin A interacting protein 1
LOC101276192	FBXO22	-1.18	4.31	57.35	F-box protein 22
LOC101279997	PGM5	-1.54	5.86	167.98	phosphoglucomutase 5
LOC101280612	MTHFD1L	-1.28	5.84	161.32	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like
LOC101274908	BSG	0.99	7.74	629.78	basigin (Ok blood group)
LOC101275668	ACADVL	-1.02	4.89	80.75	acyl-CoA dehydrogenase very long chain
LOC101280235	METTL7A	2.38	7.21	240	methyltransferase like 7A
LOC101279953	LARP1B	-1.43	6.02	187.37	La ribonucleoprotein 1B
LOC101286748	CPSF6	0.99	7.42	507.18	cleavage and polyadenylation specific factor 6
LOC101271474	CCDC71	-1.48	5.57	138.52	coiled-coil domain containing 71
LOC101288571	EGLN2	-1.24	6.49	262.3	egl-9 family hypoxia inducible factor 2
LOC101273729	FAM83F	3.62	2.76	16.26	family with sequence similarity 83 member F
LOC101274707	GDI2	1.4	7.26	471.1	GDP dissociation inhibitor 2
LOC117200484	LOC117200484	-2.67	1.93	13.06	translation initiation factor IF-2-like
LOC101288720	NPM3	1.33	5	89.18	nucleophosmin/nucleoplasmin 3
LOC101271833	GPR173	1.8	3.01	22.22	G protein-coupled receptor 173
LOC101280250	GAPDH	1.15	8.58	1113.99	glyceraldehyde-3-phosphate dehydrogenase
LOC101284240	PIR	-2.07	1.87	11.52	pirin
LOC101270325	TMEM164	-1.27	4.56	85.56	transmembrane protein 164
LOC101272549	GIMAP6	-1.56	5.56	145.86	GTPase, IMAP family member 6
LOC101270199	OST4	2.11	2.87	24.05	oligosaccharyltransferase complex subunit 4, non-catalytic
LOC101277311	PRR5L	-1.28	4.45	59.06	proline rich 5 like
LOC101273384	NDUFAF1	2.26	7.3	791.72	NADH:ubiquinone oxidoreductase complex assembly factor 1
LOC101280098	PPP1R3F	-1.84	3.73	37.61	protein phosphatase 1 regulatory subunit 3F
LOC101284299	HIGD2A	1.58	3.16	25.08	HIG1 hypoxia inducible domain family member 2A
LOC101289391	PPIC	1.71	5.45	133.39	peptidylprolyl isomerase C
LOC101281620	C1QTNF7	1.72	4.79	83.49	C1q and TNF related 7
LOC101280838	ALCAM	-1.57	4.71	78.43	activated leukocyte cell adhesion molecule
LOC101282062	FAM228B	2.73	5.54	80.5	family with sequence similarity 228 member B
LOC101290021	HERC5	-1.3	5.42	122.03	HECT and RLD domain containing E3 ubiquitin protein ligase 5
LOC101286134	TIPIN	1.74	3.33	37.42	TIMELESS interacting protein
CRACD	CRACD	1.79	3.81	40.74	capping protein inhibiting regulator of actin dynamics
LOC101273628	EPHB6	2.39	4.79	83.03	EPH receptor B6
LOC101278812	PAK4	1.35	5.12	95.65	p21 (RAC1) activated kinase 4
LOC101279137	FCGBP	-1.1	4.32	58.7	Fc gamma binding protein
LOC101273433	TACC3	1.77	3.91	39.64	transforming acidic coiled-coil containing protein 3
LOC101278794	SLC29A1	-1.32	6.08	198.21	solute carrier family 29 member 1 (Augustine blood group)
LOC101280707	ACCS	-1.37	4.79	78.48	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
LOC101270213	DLGAP4	1.21	6.41	308.52	DLG associated protein 4
LOC101286956	PI16	1.52	7.28	466.68	peptidase inhibitor 16
LOC101280261	RPL21	1.16	7.17	438.69	ribosomal protein L21
LOC101273522	UBL4A	1.2	3.37	31.3	ubiquitin like 4A
LOC101284497	SNRPD2	1.28	5.22	118.02	small nuclear ribonucleoprotein D2 polypeptide
FHIP1B	FHIP1B	-1.13	5.97	176.32	FHF complex subunit HOOK interacting protein 1B
LOC101275465	MAPK1IP1L	1.31	4.44	84.34	mitogen-activated protein kinase 1 interacting protein 1 like
LOC101269552	EPB41L1	0.97	6.46	273.96	erythrocyte membrane protein band 4.1 like 1
LOC101286819	TMED3	1.59	4.49	79.44	transmembrane p24 trafficking protein 3
LOC101287257	MYO7A	2.11	4.05	47.17	myosin VIIA
LOC101275532	SLC25A43	1.98	3.82	40.16	solute carrier family 25 member 43
LOC101274364	ARHGAP25	-1.16	4.2	51.18	Rho GTPase activating protein 25
LOC101276314	YIF1B	1.12	4.28	54.52	Yip1 interacting factor homolog B, membrane trafficking protein
LOC101270918	CD24	4.76	2.27	17.5	CD24 molecule
LOC101273278	GAS2L2	-1.95	4.65	69.01	growth arrest specific 2 like 2
LOC101283086	TARDBP	-1	5.65	138.09	TAR DNA binding protein
LOC101282973	KLHDC1	-1.36	3.48	32.23	kelch domain containing 1
LOC101275925	PPL	3.56	10.42	891.5	periplakin
LOC101276880	SGPP2	3.86	2.25	14.61	sphingosine-1-phosphate phosphatase 2
LOC117200980	LOC117200980	-1.54	4.12	45.35	uncharacterized LOC117200980
LOC101278330	ERGIC1	1.14	5.38	134	endoplasmic reticulum-golgi intermediate compartment 1
LOC101272322	BNIPL	3.63	2.62	15.86	BCL2 interacting protein like
LOC101279836	BNC1	4.75	4.13	44.38	basonuclin 1
LOC101283347	ANKRD33B	-1.49	5.12	95.68	ankyrin repeat domain 33B
LOC101287700	IP6K2	1.41	6.41	248.67	inositol hexakisphosphate kinase 2
LOC101278366	LASP1	1.09	5.91	197.37	LIM and SH3 protein 1
LOC101283110	OSGIN1	1.24	5.66	147.42	oxidative stress induced growth inhibitor 1
LOC101280438	KLHL3	-1.74	5.99	175.55	kelch like family member 3
LOC101279483	INHBB	-1.89	4.65	72.24	inhibin subunit beta B
LOC101279141	PARP12	-1.62	6.29	226.84	poly(ADP-ribose) polymerase family member 12
LOC101275644	SEC61G	1.73	3.62	35.31	SEC61 translocon subunit gamma
LOC101270853	ARL6IP1	-0.97	5.9	189.53	ADP ribosylation factor like GTPase 6 interacting protein 1
LOC101269531	MED25	1.12	6.35	245.81	mediator complex subunit 25
LOC101271622	LOC101271622	-1.55	3.18	27.73	zinc finger protein 514
RIOX1	RIOX1	-1.4	4.88	87.88	ribosomal oxygenase 1
LOC101283273	IL12RB2	-3.12	2.64	24.12	interleukin 12 receptor subunit beta 2
LOC101284357	PRAF2	1.13	4.7	75.38	PRA1 domain family member 2
LOC101284410	SULF2	1.17	6.84	333.32	sulfatase 2
LOC101274088	TMEM39B	2.29	7.34	268.92	transmembrane protein 39B
LOC101281310	CLEC10A	-2.4	2.83	19.2	C-type lectin domain containing 10A
LOC101283053	AGPAT2	-1.21	6.38	248.99	1-acylglycerol-3-phosphate O-acyltransferase 2
LOC101284398	SFT2D2	-0.95	5.54	168.92	SFT2 domain containing 2
LOC101285249	UBQLN1	0.93	6.06	202.24	ubiquilin 1
LOC101276864	SLC9A2	3.93	2.83	19.19	solute carrier family 9 member A2
LOC101288030	PNRC1	1.1	6.61	289.8	proline rich nuclear receptor coactivator 1
LOC101280220	TBCA	1.41	3.73	38.03	tubulin folding cofactor A
LOC101273590	GPX1	1.03	6.85	341.99	glutathione peroxidase 1
LOC101280626	GRINA	1.17	5.09	117.73	glutamate ionotropic receptor NMDA type subunit associated protein 1
LOC101286390	ACVR1C	-3.01	3.56	34.18	activin A receptor type 1C
LOC101289592	GPX3	2.05	5.13	110.94	glutathione peroxidase 3
LOC101273485	ZFYVE1	-0.97	6.06	207.86	zinc finger FYVE-type containing 1
LOC101279905	HOXC10	1.91	2.19	14.86	homeobox C10
LOC101270443	CGREF1	2.59	2.65	22.96	cell growth regulator with EF-hand domain 1
LOC101272332	GID4	1.09	3.84	40.63	GID complex subunit 4 homolog
C10H6orf89	C10H6orf89	1.16	6.02	172.96	chromosome 10 C6orf89 homolog
LOC101285702	ESRP2	2.83	3.69	36.41	epithelial splicing regulatory protein 2
LOC101281929	SLC12A2	-1.32	5.36	118.88	solute carrier family 12 member 2
LOC101279538	ALOX12	3.49	4.57	68.39	arachidonate 12-lipoxygenase, 12S type
LOC101274141	SLIRP	2.08	1.73	7.98	SRA stem-loop interacting RNA binding protein
LOC101280136	MET	-1.32	4.97	85.07	MET proto-oncogene, receptor tyrosine kinase
LOC101288410	MRPS16	1.5	3.63	36.81	mitochondrial ribosomal protein S16
LOC101273412	ZNF839	-1.28	4	43.16	zinc finger protein 839
LOC101287547	MDH2	1.29	5.42	131.07	malate dehydrogenase 2
LOC101283337	MASP2	-1.31	4.34	58.72	MBL associated serine protease 2
LOC101274896	HDGF	1.05	6.23	239.37	heparin binding growth factor
LOC101279263	EHBP1L1	-1.33	8.01	747.91	EH domain binding protein 1 like 1
LOC101288542	MGAT5	-1.27	6.22	208.81	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase
LOC101272735	RSPO1	2.44	2.39	16.27	R-spondin 1
LOC101269861	POU3F1	3.65	2.48	16.23	POU class 3 homeobox 1
LOC101271079	SLC35F1	-2.37	2.07	9.42	solute carrier family 35 member F1
LOC101289431	TMEM218	2.29	4.72	88.18	transmembrane protein 218
LOC101278001	OSR2	2.38	3.77	46.64	odd-skipped related transciption factor 2
LOC101271026	ATP6V1A	-0.96	5.01	93.54	ATPase H+ transporting V1 subunit A
LOC101285542	PRR18	1.97	4.82	60.69	proline rich 18
LOC101272725	MAOA	-2.01	3.19	24.91	amine oxidase [flavin-containing] A
LOC101275158	PIGV	1.34	5.64	148.24	phosphatidylinositol glycan anchor biosynthesis class V
LOC101289390	UBE2E3	1.37	4.38	66	ubiquitin conjugating enzyme E2 E3
LOC101283663	NMNAT1	2.19	4.22	60.59	nicotinamide nucleotide adenylyltransferase 1
LOC101282430	PLP2	1.71	5.04	105.03	proteolipid protein 2
LOC101279131	TMEM245	-0.93	5.82	162.25	transmembrane protein 245
LOC101274073	DBNL	1.23	7.33	499.8	drebrin like
LOC117203722	CIDEA	-1.66	6.14	201.44	cell death inducing DFFA like effector a
LOC101290371	TAP2	-1.4	6.64	280.06	transporter 2, ATP binding cassette subfamily B member
LOC101276661	NES	-1.89	6.16	212.07	nestin
LOC101273282	DCT	5.25	3.28	31.09	dopachrome tautomerase
LOC101279398	RNASE7	4.72	4.53	14.49	ribonuclease 7
LOC101283533	NFATC1	0.98	6.88	341.82	nuclear factor of activated T cells 1
LOC101286346	ARL4D	-1.57	3.13	24.76	ADP ribosylation factor like GTPase 4D
LOC101287891	COL12A1	1.63	9.95	2898.22	collagen type XII alpha 1 chain
LOC101281459	PMF1	1.95	8.68	8317.04	solute carrier family 25 member 44
LOC101272540	HTR7	-1.78	4	47.79	5-hydroxytryptamine receptor 7
LOC101289250	ROCK2	-0.88	6.11	215.88	Rho associated coiled-coil containing protein kinase 2
LOC101276451	UBE2Q2	0.97	5.75	155.33	ubiquitin conjugating enzyme E2 Q2
LOC101276620	LOC101276620	1.59	6.6	312.21	poly(rC)-binding protein 2-like
LOC101273093	MFAP4	1.44	5.32	114.56	microfibril associated protein 4
LOC101276548	PTPRQ	-3.66	1.5	9	protein tyrosine phosphatase receptor type Q
LOC101287961	ADIPOR1	1.37	6.4	123.07	adiponectin receptor 1
LOC101276996	NREP	1.94	6.12	225.43	neuronal regeneration related protein
LOC101287009	SNX25	-1.06	4.64	71.66	sorting nexin 25
LOC101288101	GFPT2	1.74	4.36	57.6	glutamine-fructose-6-phosphate transaminase 2
LOC101282757	NRIP3	-1.3	4.66	71.54	nuclear receptor interacting protein 3
LOC101283820	ARF4	1.25	6.25	224.78	ADP ribosylation factor 4
LOC101272372	CKAP2L	2.62	2.86	21.15	cytoskeleton associated protein 2 like
LOC101276141	DPYS	-2.65	1.51	7.73	dihydropyrimidinase
LOC101284360	PCK1	-2.33	6.66	284.8	phosphoenolpyruvate carboxykinase 1
LOC101274357	ID2	1.88	3.96	49.04	inhibitor of DNA binding 2
LOC101288042	MUC21	5.17	6.04	14.77	mucin 21, cell surface associated
LOC101283352	RANBP1	1	5.95	171.14	RAN binding protein 1
LOC101285197	INTS8	-1.29	5.49	131.29	integrator complex subunit 8
LOC101271808	VTA1	1.4	4.37	63	vesicle trafficking 1
LOC101288607	PXDC1	1.29	5.23	120.26	PX domain containing 1
LOC101279624	ADAM22	-1.61	5.34	111.36	ADAM metallopeptidase domain 22
LOC101270479	MFNG	-1.73	5.4	129.77	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
LOC101272837	NUDT9	-0.9	4.21	54.6	nudix hydrolase 9
LOC101274824	KDELR2	1.29	4.77	83.47	KDEL endoplasmic reticulum protein retention receptor 2
LOC101279634	DNMBP	-1.32	7.36	468.86	dynamin binding protein
LOC101284793	POLR2I	1.82	3.36	29.71	RNA polymerase II subunit I
LOC101288724	ARPC1B	1.13	7.71	626.59	actin related protein 2/3 complex subunit 1B
LOC101272028	GLS	-0.96	6.57	270.66	glutaminase
LOC101285623	PPP1CA	1.08	5.3	119.24	protein phosphatase 1 catalytic subunit alpha
LOC101282409	LAMC1	-1.08	8.77	1270.48	laminin subunit gamma 1
LOC101285491	FBP1	2.47	2.57	16.33	fructose-bisphosphatase 1
LOC101286813	SCARB1	-1.58	5.12	103.1	scavenger receptor class B member 1
LOC101285091	MTPN	1.28	5.92	211.93	myotrophin
LOC101269284	LIFR	-1.51	6.59	311.16	LIF receptor subunit alpha
LOC101289108	HSPE1	1.32	4.78	87.01	heat shock protein family E (Hsp10) member 1
LOC125961092	LOC125961092	2.67	7.38	512.4	translation initiation factor IF-2-like
LOC101271270	PODXL	-1.54	7.66	544.24	podocalyxin like
LOC101276690	OSBPL8	-0.94	6.09	191.03	oxysterol binding protein like 8
LOC101271973	NDP	2.94	1.13	6.89	norrin cystine knot growth factor NDP
LOC101277177	RPS15	1.12	7.11	401.53	ribosomal protein S15
LOC101270066	ZIC1	2.4	2.87	18.17	Zic family member 1
LOC101277160	FGD5	-1.51	8.28	879.8	FYVE, RhoGEF and PH domain containing 5
LOC101283186	BMP7	3.45	3.45	31.75	bone morphogenetic protein 7
LOC101270851	TBC1D1	-0.77	5.57	134.7	TBC1 domain family member 1
LOC117198471	LOC117198471	1.53	3.93	48.57	cytochrome c oxidase subunit 8A, mitochondrial
LOC101285634	SPATS2L	1.71	5.29	128.34	spermatogenesis associated serine rich 2 like
LOC101274841	MANBAL	1.11	3.88	55.42	mannosidase beta like
LOC101288427	MYRIP	-1.49	6.6	273.35	myosin VIIA and Rab interacting protein
LOC101276273	R3HDM2	1.03	6.36	222.16	R3H domain containing 2
LOC101278205	SSRP1	1.02	6.81	349.82	structure specific recognition protein 1
LOC101280938	HDAC3	0.92	5.29	129.35	histone deacetylase 3
LOC101282180	VCAN	1.6	7.47	533.92	versican
LOC101271623	SS18L2	1.58	2.73	22.42	SS18 like 2
LOC101282723	PPFIA3	2.27	3.64	36.7	PTPRF interacting protein alpha 3
LOC101282440	LOC101282440	2.35	2.12	13	cytochrome b-c1 complex subunit 9
LOC101270928	PCED1A	1.15	4.18	53.78	PC-esterase domain containing 1A
LOC101280095	KCNH2	-2.34	3.22	25.28	potassium voltage-gated channel subfamily H member 2
LOC101280748	PCNP	2.98	9.65	2155.2	PEST proteolytic signal containing nuclear protein
LOC101280923	NDFIP2	1.11	4.66	72.32	Nedd4 family interacting protein 2
LOC101288059	SEC61B	1.69	3.74	40.57	SEC61 translocon subunit beta
LOC101289426	WNT5B	2.17	3.2	38.03	Wnt family member 5B
LOC101283883	ZNF454	-2.1	1.7	11.74	zinc finger protein 454
LOC101274430	PLEKHN1	2.88	5.9	54.1	pleckstrin homology domain containing N1
LOC101286578	LRRC8C	-1.47	4.24	53.84	leucine rich repeat containing 8 VRAC subunit C
LOC101281664	MSX2	2.73	2.21	13.04	msh homeobox 2
LOC101275574	MRPS15	1.03	4.33	62.63	mitochondrial ribosomal protein S15
LOC101288384	CDKN1A	1.26	5.12	114.17	cyclin dependent kinase inhibitor 1A
LOC101284622	UST	1.35	4.72	87.91	uronyl 2-sulfotransferase
LOC101269735	ACTG2	-2.28	5.39	113.7	actin gamma 2, smooth muscle
LOC101279065	LOC101279065	-1.75	2.28	13.92	tyrosine-protein kinase RYK-like
LOC101282927	MGAT3	2.38	3.91	64.05	beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase
LOC101278783	SELENBP1	2.59	2.98	21.51	selenium binding protein 1
LOC101274257	ACHE	3.25	2.8	18.12	acetylcholinesterase (Cartwright blood group)
LOC101289372	FXYD3	4.39	3.69	15.41	FXYD domain containing ion transport regulator 3
LOC101290287	MAPRE3	1.21	4.15	64.75	microtubule associated protein RP/EB family member 3
TLCD3A	TLCD3A	0.89	4.3	71.68	TLC domain containing 3A
LOC101270508	SOD3	1.53	4.38	60.55	superoxide dismutase 3
LOC101280254	SLC35G1	1.59	3.71	37.3	solute carrier family 35 member G1
LOC101272574	SESN3	1.15	7.36	471.29	sestrin 3
LOC101276597	SIK2	-1.05	6.44	281.47	salt inducible kinase 2
LOC101271374	TICAM1	1.12	5.26	111.12	TIR domain containing adaptor molecule 1
LOC101277742	RPL26	1.69	6.51	299.41	ribosomal protein L26
LOC101288328	ZNF740	-1.21	6.01	177.79	zinc finger protein 740
LOC101284837	ITGBL1	1.68	5.22	104.77	integrin subunit beta like 1
LOC101279283	AURKB	2.71	2.81	18.45	aurora kinase B
LOC101284606	HACD1	1.85	3.17	26.04	3-hydroxyacyl-CoA dehydratase 1
LOC101287644	CDA	4.26	2.67	18.44	cytidine deaminase
LOC101285346	NINL	-1.38	3.99	42.85	ninein like
LOC101286341	HSPA12B	-1.49	5.08	95.4	heat shock protein family A (Hsp70) member 12B
LOC101278121	RPL23	1.22	7.33	481.82	ribosomal protein L23
LOC101272924	DDX59	1.04	4.35	61.45	DEAD-box helicase 59
LOC101271702	FOXM1	2.77	1.99	9.99	forkhead box M1
LOC101275169	UFSP1	2	2.27	12.8	UFM1 specific peptidase 1 (inactive)
LOC101275760	SNRPN	-1.03	4.07	49.52	small nuclear ribonucleoprotein polypeptide N
LOC101287753	KCNG2	-2.57	3.16	25.94	potassium voltage-gated channel modifier subfamily G member 2
LOC125961336	LOC125961336	1.54	5.37	129.3	histone H2A type 2-A
LOC101277935	SNRNP27	1.45	4.59	72.16	small nuclear ribonucleoprotein U4/U6.U5 subunit 27
LOC101282800	KIF2C	2.82	2.34	13.43	kinesin family member 2C
LOC101285745	SNF8	1.1	4.86	87.25	SNF8 subunit of ESCRT-II
LOC101287258	P4HA2	1.15	5.77	173.25	prolyl 4-hydroxylase subunit alpha 2
LOC101281125	ZDHHC5	1.08	5.69	165.22	zinc finger DHHC-type palmitoyltransferase 5
LOC101269671	FAM102B	1.61	7.64	962.09	family with sequence similarity 102 member B
LOC101273169	FGFR3	2.46	5.84	165.78	fibroblast growth factor receptor 3
LOC101282367	RPS5	1.44	7.49	566.17	ribosomal protein S5
LOC101287915	PECAM1	-1.42	8.28	875.3	platelet and endothelial cell adhesion molecule 1
LOC101288992	CRYBG3	-0.88	6.89	320.37	crystallin beta-gamma domain containing 3
LOC101275763	PHLDB2	-1.17	6.8	323.53	pleckstrin homology like domain family B member 2
LOC101278277	SLC25A40	-1.15	3.52	29.58	solute carrier family 25 member 40
LORICRIN	LORICRIN	4.24	3.76	38.54	loricrin cornified envelope precursor protein
LOC101288092	JADE2	-1.05	7.53	541.16	jade family PHD finger 2
RTRAF	RTRAF	1.53	5.05	97.85	RNA transcription, translation and transport factor
LOC101283814	FAM83G	2.69	4.98	90.56	family with sequence similarity 83 member G
